"id","scheme","scheme_type","value","year","estimate_type"
0,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",90806.0,"2022-2023","Actual"
1,"National Social Assistance Program","Core of the Core Schemes",9651.0,"2022-2023","Actual"
2,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",223.0,"2022-2023","Actual"
3,"Umbrella Programme for Development of Other Vulnerable Groups","Core of the Core Schemes",1572.0,"2022-2023","Actual"
4,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",3825.0,"2022-2023","Actual"
5,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",5158.0,"2022-2023","Actual"
6,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",73615.0,"2022-2023","Actual"
7,"Jal Jeevan Mission (JJM)/National Rural Drinking Water Mission","Core Schemes",54700.0,"2022-2023","Actual"
8,"National Health Mission","Core Schemes",33803.0,"2022-2023","Actual"
9,"Samagra Shiksha","Core Schemes",32515.0,"2022-2023","Actual"
10,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)","Core Schemes",19876.0,"2022-2023","Actual"
11,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",18783.0,"2022-2023","Actual"
12,"National Livelihood Mission - Ajeevika","Core Schemes",12083.0,"2022-2023","Actual"
13,"Pradhan Mantri Poshan Shakti Nirman (PM POSHAN)","Core Schemes",12681.0,"2022-2023","Actual"
14,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",6380.0,"2022-2023","Actual"
15,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",15153.0,"2022-2023","Actual"
16,"Rashtriya Krishi Vikas Yojna","Core Schemes",5247.0,"2022-2023","Actual"
17,"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojna (PMJAY)","Core Schemes",6186.0,"2022-2023","Actual"
18,"Krishionnati Yojana","Core Schemes",4716.0,"2022-2023","Actual"
19,"Swachh Bharat Mission (Gramin)","Core Schemes",4925.0,"2022-2023","Actual"
20,"Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA","Core Schemes",8572.0,"2022-2023","Actual"
21,"PM Schools for Rising India (PM SHRI)","Core Schemes","","2022-2023","Actual"
22,"Swachh Bharat Mission","Core Schemes",1926.0,"2022-2023","Actual"
23,"Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM)","Core Schemes",1228.0,"2022-2023","Actual"
24,"Modernisation of Police Forces","Core Schemes",2896.0,"2022-2023","Actual"
25,"Interlinking of Rivers","Core Schemes",624.0,"2022-2023","Actual"
26,"Mission Shakti (Mission for Protection and Empowerment for Women)","Core Schemes",2340.0,"2022-2023","Actual"
27,"Blue Revolution","Core Schemes",1180.0,"2022-2023","Actual"
28,"Pradhan Mantri Uchchatar Shiksha Abhiyan (PM-USHA)","Core Schemes","","2022-2023","Actual"
29,"Mission VATSALYA (Child Protection Services and Child Welfare Services)","Core Schemes",1043.0,"2022-2023","Actual"
30,"Strengthening Teaching-Learning and Results for States (STARS)","Core Schemes",473.0,"2022-2023","Actual"
31,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes",762.0,"2022-2023","Actual"
32,"Vibrant Villages Programme","Core Schemes","","2022-2023","Actual"
33,"Infrastructure Facilities for Judiciary","Core Schemes",858.0,"2022-2023","Actual"
34,"Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME)","Core Schemes",275.0,"2022-2023","Actual"
35,"Environment, Forestry and Wildlife","Core Schemes",485.0,"2022-2023","Actual"
36,"National River Conservation Plan - Other Basins","Core Schemes",443.0,"2022-2023","Actual"
37,"Crop Insurance Scheme","Major Central Sector Schemes",10296.0,"2022-2023","Actual"
38,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)","Major Central Sector Schemes",58254.0,"2022-2023","Actual"
39,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)","Major Central Sector Schemes",124.0,"2022-2023","Actual"
40,"Modified Interest Subvention Scheme (MISS)","Major Central Sector Schemes",17998.0,"2022-2023","Actual"
41,"Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA)","Major Central Sector Schemes","","2022-2023","Actual"
42,"Agriculture Infrastructure Fund (AIF)","Major Central Sector Schemes",147.0,"2022-2023","Actual"
43,"Crop Science for Food and Nutritional Security","Major Central Sector Schemes","","2022-2023","Actual"
44,"Research and Development Projects","Major Central Sector Schemes",1836.0,"2022-2023","Actual"
45,"Nuclear Power Projects","Major Central Sector Schemes",1430.0,"2022-2023","Actual"
46,"Feedstock","Major Central Sector Schemes",1269.0,"2022-2023","Actual"
47,"R&D projects of Bhabha Atomic Research Centre (BARC)","Major Central Sector Schemes",1132.0,"2022-2023","Actual"
48,"Fuel Recycle Projects (NRB)","Major Central Sector Schemes",716.0,"2022-2023","Actual"
49,"Nuclear Fuel Fabrication Projects","Major Central Sector Schemes",801.0,"2022-2023","Actual"
50,"Urea Subsidy","Major Central Sector Schemes",165217.0,"2022-2023","Actual"
51,"Nutrient Based Subsidy","Major Central Sector Schemes",86122.0,"2022-2023","Actual"
52,"Development of Industry (Pharmaceutical)","Major Central Sector Schemes",1.0,"2022-2023","Actual"
53,"Production Linked Incentive Scheme (Pharmaceutical)","Major Central Sector Schemes",1425.0,"2022-2023","Actual"
54,"Regional Connectivity Scheme","Major Central Sector Schemes",1064.0,"2022-2023","Actual"
55,"Interest Equalisation Scheme","Major Central Sector Schemes",3118.0,"2022-2023","Actual"
56,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017","Major Central Sector Schemes","","2022-2023","Actual"
57,"Fund of Funds","Major Central Sector Schemes",1425.0,"2022-2023","Actual"
58,"Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Major Central Sector Schemes",2638.0,"2022-2023","Actual"
59,"Compensation to Service Providers for creation and augmentation of telecom infrastructure","Major Central Sector Schemes",53500.0,"2022-2023","Actual"
60,"Domestic Industry Incentivisation Scheme","Major Central Sector Schemes","","2022-2023","Actual"
61,"Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY)","Major Central Sector Schemes","","2022-2023","Actual"
62,"Works under Border Roads Development Board","Major Central Sector Schemes",4510.0,"2022-2023","Actual"
63,"Other works","Major Central Sector Schemes",991.0,"2022-2023","Actual"
64,"Projects of the Air Force","Major Central Sector Schemes",146.0,"2022-2023","Actual"
65,"Investment in Public Enterprises","Major Central Sector Schemes",1310.0,"2022-2023","Actual"
66,"Research and Development","Major Central Sector Schemes",11498.0,"2022-2023","Actual"
67,"Land","Major Central Sector Schemes","","2022-2023","Actual"
68,"Aircraft and Aero Engines","Major Central Sector Schemes","","2022-2023","Actual"
69,"Heavy and Medium Vehicles","Major Central Sector Schemes","","2022-2023","Actual"
70,"Other Equipments","Major Central Sector Schemes","","2022-2023","Actual"
71,"Joint Staff","Major Central Sector Schemes","","2022-2023","Actual"
72,"Construction Works","Major Central Sector Schemes","","2022-2023","Actual"
73,"Naval Fleet","Major Central Sector Schemes","","2022-2023","Actual"
74,"Naval Dockyard/ Projects","Major Central Sector Schemes","","2022-2023","Actual"
75,"Special Projects","Major Central Sector Schemes","","2022-2023","Actual"
76,"Schemes of North East Council","Major Central Sector Schemes",370.0,"2022-2023","Actual"
77,"Prime Minister's Development Initiative for North East Region (PM-DevINE)","Major Central Sector Schemes",121.0,"2022-2023","Actual"
78,"North East Special Infrastructure Development Scheme (NESIDS)","Major Central Sector Schemes",458.0,"2022-2023","Actual"
79,"Deep Ocean Mission (DOM)","Major Central Sector Schemes",56.0,"2022-2023","Actual"
80,"PM Uchchatar Shiksha Protsahan (PM-USP) Yojna","Major Central Sector Schemes","","2022-2023","Actual"
81,"National Apprenticeship Training Scheme (NATS)","Major Central Sector Schemes","","2022-2023","Actual"
82,"World Class Institutions","Major Central Sector Schemes",977.0,"2022-2023","Actual"
83,"Capacity Building and Skill Development Scheme","Major Central Sector Schemes","","2022-2023","Actual"
84,"Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India","Major Central Sector Schemes",13.0,"2022-2023","Actual"
85,"Production Linked Incentive Scheme (PLI), (MEITY)","Major Central Sector Schemes","","2022-2023","Actual"
86,"Cyber Security Projects","Major Central Sector Schemes",30.0,"2022-2023","Actual"
87,"Electronic Governance","Major Central Sector Schemes",216.0,"2022-2023","Actual"
88,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Major Central Sector Schemes",634.0,"2022-2023","Actual"
89,"R and D in IT/Electronics/CCBT","Major Central Sector Schemes",275.0,"2022-2023","Actual"
90,"Control of Pollution","Major Central Sector Schemes",600.0,"2022-2023","Actual"
91,"Scheme for Bhutan","Major Central Sector Schemes",2467.0,"2022-2023","Actual"
92,"Scheme for Nepal","Major Central Sector Schemes",434.0,"2022-2023","Actual"
93,"Maldives","Major Central Sector Schemes",183.0,"2022-2023","Actual"
94,"Support to International Training/Programmes","Major Central Sector Schemes",480.0,"2022-2023","Actual"
95,"National Investment and Infrastructure Fund (NIIF)","Major Central Sector Schemes",1683.0,"2022-2023","Actual"
96,"Lines of Credit under Indian Development and Economic Assistance Scheme (IDEAS)","Major Central Sector Schemes",1459.0,"2022-2023","Actual"
97,"Government Co-contribution to Atal Pension Yojana","Major Central Sector Schemes",725.0,"2022-2023","Actual"
98,"Incentive scheme for promotion of RuPay Debit Cards and low-value BHIM-UPI transactions (person-to- merchant)","Major Central Sector Schemes","","2022-2023","Actual"
99,"Remission of Duties and Taxes on Exported Products (RODTEP)","Major Central Sector Schemes",13175.0,"2022-2023","Actual"
100,"Rebate on State and Central Taxes and Levies (ROSCTL)","Major Central Sector Schemes",7659.0,"2022-2023","Actual"
101,"Livestock Health and Disease Control Programme","Major Central Sector Schemes",805.0,"2022-2023","Actual"
